idx,total_jobs,dataset_base,algorithm,rho,num_clients,seed,run_ordinal,target_runs,dataset,status,exit_code,start_utc,end_utc,run_log,complete_before,complete_after,latest_complete_acc_csv
11,170,Cifar10,FedALA,0.0,50,2,2,3,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-12T17:52:24Z,2026-06-12T18:45:41Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/11_Cifar10_FedALA_rho0p0_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.0/NC_50/date_20260612/time_175226/acc.csv
12,170,Cifar10,FedALA,0.0,50,3,3,3,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-12T17:52:37Z,2026-06-12T18:46:07Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/12_Cifar10_FedALA_rho0p0_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.0/NC_50/date_20260612/time_175240/acc.csv
13,170,Cifar10,FedALA,0.2,50,2,2,3,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-12T18:45:41Z,2026-06-12T19:38:40Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/13_Cifar10_FedALA_rho0p2_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.2/NC_50/date_20260612/time_184543/acc.csv
14,170,Cifar10,FedALA,0.2,50,3,3,3,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-12T18:46:07Z,2026-06-12T19:39:04Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/14_Cifar10_FedALA_rho0p2_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.2/NC_50/date_20260612/time_184609/acc.csv
15,170,Cifar10,FedALA,0.4,50,2,2,3,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-12T19:38:40Z,2026-06-12T20:31:45Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/15_Cifar10_FedALA_rho0p4_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.4/NC_50/date_20260612/time_193842/acc.csv
16,170,Cifar10,FedALA,0.4,50,3,3,3,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-12T19:39:04Z,2026-06-12T20:32:16Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/16_Cifar10_FedALA_rho0p4_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.4/NC_50/date_20260612/time_193907/acc.csv
17,170,Cifar10,FedALA,0.6,50,2,2,3,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-12T20:31:45Z,2026-06-12T21:25:09Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/17_Cifar10_FedALA_rho0p6_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.6/NC_50/date_20260612/time_203147/acc.csv
18,170,Cifar10,FedALA,0.6,50,3,3,3,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-12T20:32:16Z,2026-06-12T21:25:39Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/18_Cifar10_FedALA_rho0p6_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.6/NC_50/date_20260612/time_203218/acc.csv
19,170,Cifar10,FedALA,0.8,50,2,2,3,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-12T21:25:09Z,2026-06-12T22:17:53Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/19_Cifar10_FedALA_rho0p8_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.8/NC_50/date_20260612/time_212511/acc.csv
20,170,Cifar10,FedALA,0.8,50,3,3,3,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-12T21:25:39Z,2026-06-12T22:18:19Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/20_Cifar10_FedALA_rho0p8_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.8/NC_50/date_20260612/time_212541/acc.csv
22,170,Cifar10,FedAS,0.0,50,3,3,3,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-12T22:18:19Z,2026-06-13T00:07:21Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/22_Cifar10_FedAS_rho0p0_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.0/NC_50/date_20260612/time_221821/acc.csv
21,170,Cifar10,FedAS,0.0,50,2,2,3,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-12T22:17:53Z,2026-06-13T00:08:02Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/21_Cifar10_FedAS_rho0p0_nc50_seed2_run2.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.0/NC_50/date_20260612/time_221821/acc.csv
23,170,Cifar10,FedAS,0.2,50,2,2,3,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-13T00:07:21Z,2026-06-13T01:57:05Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/23_Cifar10_FedAS_rho0p2_nc50_seed2_run2.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.2/NC_50/date_20260613/time_000804/acc.csv
24,170,Cifar10,FedAS,0.2,50,3,3,3,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-13T00:08:02Z,2026-06-13T01:57:17Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/24_Cifar10_FedAS_rho0p2_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.2/NC_50/date_20260613/time_000804/acc.csv
26,170,Cifar10,FedAS,0.4,50,3,3,3,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-13T01:57:17Z,2026-06-13T03:48:43Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/26_Cifar10_FedAS_rho0p4_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.4/NC_50/date_20260613/time_015719/acc.csv
25,170,Cifar10,FedAS,0.4,50,2,2,3,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-13T01:57:05Z,2026-06-13T03:48:46Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/25_Cifar10_FedAS_rho0p4_nc50_seed2_run2.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.4/NC_50/date_20260613/time_015719/acc.csv
28,170,Cifar10,FedAS,0.6,50,3,3,3,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-13T03:48:46Z,2026-06-13T05:37:43Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/28_Cifar10_FedAS_rho0p6_nc50_seed3_run3.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.6/NC_50/date_20260613/time_034848/acc.csv
27,170,Cifar10,FedAS,0.6,50,2,2,3,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-13T03:48:43Z,2026-06-13T05:41:27Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/27_Cifar10_FedAS_rho0p6_nc50_seed2_run2.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.6/NC_50/date_20260613/time_034848/acc.csv
29,170,Cifar10,FedAS,0.8,50,2,2,3,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-13T05:37:43Z,2026-06-13T07:26:27Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/29_Cifar10_FedAS_rho0p8_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.8/NC_50/date_20260613/time_053745/acc.csv
30,170,Cifar10,FedAS,0.8,50,3,3,3,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-13T05:41:27Z,2026-06-13T07:31:29Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/30_Cifar10_FedAS_rho0p8_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.8/NC_50/date_20260613/time_054129/acc.csv
31,170,Cifar10,FedAvg,0.0,50,2,2,3,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-13T07:26:27Z,2026-06-13T08:21:31Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/31_Cifar10_FedAvg_rho0p0_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAvg/GM_VGG8/splitgp_rho0.0/NC_50/date_20260613/time_072629/acc.csv
32,170,Cifar10,FedAvg,0.0,50,3,3,3,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-13T07:31:29Z,2026-06-13T08:26:15Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/32_Cifar10_FedAvg_rho0p0_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAvg/GM_VGG8/splitgp_rho0.0/NC_50/date_20260613/time_073131/acc.csv
33,170,Cifar10,FedAvg,0.2,50,2,2,3,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-13T08:21:31Z,2026-06-13T09:15:05Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/33_Cifar10_FedAvg_rho0p2_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAvg/GM_VGG8/splitgp_rho0.2/NC_50/date_20260613/time_082133/acc.csv
34,170,Cifar10,FedAvg,0.2,50,3,3,3,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-13T08:26:15Z,2026-06-13T09:20:26Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/34_Cifar10_FedAvg_rho0p2_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAvg/GM_VGG8/splitgp_rho0.2/NC_50/date_20260613/time_082617/acc.csv
35,170,Cifar10,FedAvg,0.4,50,2,2,3,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-13T09:15:05Z,2026-06-13T10:10:04Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/35_Cifar10_FedAvg_rho0p4_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAvg/GM_VGG8/splitgp_rho0.4/NC_50/date_20260613/time_091507/acc.csv
36,170,Cifar10,FedAvg,0.4,50,3,3,3,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-13T09:20:26Z,2026-06-13T10:15:07Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/36_Cifar10_FedAvg_rho0p4_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAvg/GM_VGG8/splitgp_rho0.4/NC_50/date_20260613/time_092029/acc.csv
37,170,Cifar10,FedAvg,0.6,50,2,2,3,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-13T10:10:04Z,2026-06-13T11:04:53Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/37_Cifar10_FedAvg_rho0p6_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAvg/GM_VGG8/splitgp_rho0.6/NC_50/date_20260613/time_101006/acc.csv
38,170,Cifar10,FedAvg,0.6,50,3,3,3,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-13T10:15:07Z,2026-06-13T11:10:06Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/38_Cifar10_FedAvg_rho0p6_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAvg/GM_VGG8/splitgp_rho0.6/NC_50/date_20260613/time_101509/acc.csv
39,170,Cifar10,FedAvg,0.8,50,2,2,3,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-13T11:04:53Z,2026-06-13T11:59:59Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/39_Cifar10_FedAvg_rho0p8_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAvg/GM_VGG8/splitgp_rho0.8/NC_50/date_20260613/time_110455/acc.csv
40,170,Cifar10,FedAvg,0.8,50,3,3,3,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-13T11:10:06Z,2026-06-13T12:05:49Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/40_Cifar10_FedAvg_rho0p8_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAvg/GM_VGG8/splitgp_rho0.8/NC_50/date_20260613/time_111008/acc.csv
41,170,Cifar10,FedBN,0.0,50,2,2,3,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-13T11:59:59Z,2026-06-13T12:46:34Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/41_Cifar10_FedBN_rho0p0_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedBN/GM_VGG8/splitgp_rho0.0/NC_50/date_20260613/time_120002/acc.csv
42,170,Cifar10,FedBN,0.0,50,3,3,3,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-13T12:05:49Z,2026-06-13T12:53:13Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/42_Cifar10_FedBN_rho0p0_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedBN/GM_VGG8/splitgp_rho0.0/NC_50/date_20260613/time_120552/acc.csv
43,170,Cifar10,FedBN,0.2,50,2,2,3,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-13T12:46:34Z,2026-06-13T13:33:44Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/43_Cifar10_FedBN_rho0p2_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedBN/GM_VGG8/splitgp_rho0.2/NC_50/date_20260613/time_124637/acc.csv
44,170,Cifar10,FedBN,0.2,50,3,3,3,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-13T12:53:13Z,2026-06-13T13:39:39Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/44_Cifar10_FedBN_rho0p2_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedBN/GM_VGG8/splitgp_rho0.2/NC_50/date_20260613/time_125315/acc.csv
45,170,Cifar10,FedBN,0.4,50,2,2,3,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-13T13:33:44Z,2026-06-13T14:20:59Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/45_Cifar10_FedBN_rho0p4_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedBN/GM_VGG8/splitgp_rho0.4/NC_50/date_20260613/time_133347/acc.csv
46,170,Cifar10,FedBN,0.4,50,3,3,3,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-13T13:39:39Z,2026-06-13T14:27:23Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/46_Cifar10_FedBN_rho0p4_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedBN/GM_VGG8/splitgp_rho0.4/NC_50/date_20260613/time_133942/acc.csv
47,170,Cifar10,FedBN,0.6,50,2,2,3,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-13T14:20:59Z,2026-06-13T15:09:29Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/47_Cifar10_FedBN_rho0p6_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedBN/GM_VGG8/splitgp_rho0.6/NC_50/date_20260613/time_142102/acc.csv
48,170,Cifar10,FedBN,0.6,50,3,3,3,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-13T14:27:23Z,2026-06-13T15:15:53Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/48_Cifar10_FedBN_rho0p6_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedBN/GM_VGG8/splitgp_rho0.6/NC_50/date_20260613/time_142725/acc.csv
49,170,Cifar10,FedBN,0.8,50,2,2,3,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-13T15:09:29Z,2026-06-13T15:58:02Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/49_Cifar10_FedBN_rho0p8_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedBN/GM_VGG8/splitgp_rho0.8/NC_50/date_20260613/time_150931/acc.csv
